city,lat,lon,fa-name,en-name,geo
محلات,33.90706,50.455645,محلات,Mahallat,33.906646, 50.454510
محمودآباد,36.2143184,46.5274543,محمودآباد,Mahmudabad,36.628580, 52.260543
مراغه,37.3916705,46.2397524,مراغه,Maragheh,37.388503, 46.254508
مرند,38.4306358,45.7741,مرند,Marand,38.433075, 45.769171
مرودشت,29.8762905,52.8062895,مرودشت,Marvdasht,29.878422, 52.810753
مريوان,35.519835,46.173027,مریوان,Marivan,5.520445, 46.175153
مشهد,36.2974945,59.6059232,مشهد,Mashhad,36.295386, 59.606746
ملاير,34.2922623,48.8215749,ملایر,Malayer,34.305581, 48.815187
ملکان,37.1429593,46.104082,ملکان,Malekan,37.142560, 46.103034
منجيل,36.7448499,49.4000305,منجیل,Manjil,36.739152, 49.408519
مهاباد,33.5252176,52.2132573,مهاباد,Mahabad,36.769158, 45.722533
مهر,36.2919136,57.1487478,مهر,Mehr,36.291685, 57.147306
مياندوآب,36.9695588,46.0993809,میاندوآب,Miandoab,36.970709, 46.109311
ميانه,37.4284538,47.7057976,میانه,Miyaneh,37.426170, 47.714821
ميبد,32.2510825,54.0159205,میبد,Meybod,32.232195, 54.012795
ميناب,27.1505605,57.0752814,میناب,Minab,27.132835, 57.077168
مينودشت,37.2288889,55.3747222,مینودشت,Minudasht,37.229679, 55.373585
نجف آباد,37.6254335,57.3602414,نجف آباد,Najafabad,32.644607, 51.348526
نقده,34.5137188,48.3970333,نقده,Naqadeh,36.955159, 45.388263
نکا,36.6511824,53.2965182,نکا,Neka,36.649805, 53.295388
نهاوند,30.3304483,48.2829959,نهاوند,Nahavand,34.194566, 48.372199
نور و رويان,36.5694026,51.9617002,رویان,Royan,36.569958, 51.963265
نورآباد فارس,30.11953795,51.53134893,نورآباد,Nurabad,30.116489, 51.529446
نورآباد لرستان,34.0726246,47.9728357,نورآباد,Nurabad,34.070955, 47.972043
نوشهر,36.6508069,51.5034126,نوشهر,Nowshahr,36.651147, 51.487081
نيريز,29.1972504,54.3267782,نی‌ریز,Neyriz,29.196690, 54.325762
نيشابور,33.5481855,55.0591844,نیشابور,Neyshabur,36.211732, 58.789984
همدان,34.973321,48.6555779,همدان,Hamedan,34.799237, 48.514981
هنديجان,30.2363224,49.7122886,هندیجان,Hendijan,30.236440, 49.710595
ياسوج,30.6681785,51.581916,یاسوج,Yasuj,30.659942, 51.589705
يزد,31.879493,54.353592,یزد,Yazd,31.872413, 54.359247
